"AU_scale";"AU";"Area_km2";"Substance";"Matrix";"Threshold";"Status";"CR";"ConfThresh";"CountStations";"CountData";"ConfSpatial";"ConfMethod";"ConfTemp"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;1.860465116;218.878249;"H";7;8;"M";"M";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;10.11627907;0.134883721;"L";7;8;"M";"H";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;85.72321289;4.286160645;"H";10;10;"M";"L";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;239.1652149;11.95826074;"H";10;10;"M";"H";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;120;6;"H";10;10;"M";"H";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HBCD";"Biota";167;0.608870827;0.003645933;"H";3;3;"M";"H";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;4.078947368;479.876161;"H";7;8;"M";"L";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;10.875;0.145;"L";7;8;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"PFOS";"Biota";9.1;2.455422571;0.269826656;"H";3;5;"M";"L";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HBCD";"Biota";167;0.695520326;0.004164792;"H";3;3;"M";"H";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"PFOS";"Biota";9.1;1.37;0.150549451;"H";3;5;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"PFOS";"Biota";162.89;12.8;0.078580637;"H";3;5;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"PFOS";"Biota";9.1;2.661879282;0.292514207;"H";3;5;"M";"L";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;164.3167673;8.215838363;"H";10;10;"M";"H";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;0.832874557;97.98524196;"H";7;8;"M";"M";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;13.90576463;0.185410195;"L";7;8;"M";"L";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;181.2825238;9.064126192;"H";10;10;"M";"H";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;10.51724138;1237.322515;"H";7;8;"M";"H";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;72.24137931;0.963218391;"L";7;8;"M";"H";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HBCD";"Biota";167;0.590541986;0.00353618;"H";3;3;"M";"L";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;0.886758966;104.3245842;"H";7;8;"M";"H";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;18.13345177;0.241779357;"L";7;8;"M";"L";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"PFOS";"Biota";9.1;5.138093031;0.564625608;"H";3;5;"M";"L";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;123.4586858;6.172934291;"H";10;10;"M";"M";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;3;352.9411765;"H";7;8;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;13.2;0.176;"L";7;8;"M";"H";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;60;3;"H";10;10;"M";"H";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;130;6.5;"H";10;10;"M";"M";"H"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;294.6183973;14.73091986;"H";10;10;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;5.104166667;600.4901961;"H";7;8;"M";"H";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;26.97916667;0.359722222;"L";7;8;"M";"L";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"HG";"Biota";20;364.6916506;18.23458253;"H";10;10;"M";"M";"M"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SBD6";"Biota";0.0085;4.838709677;569.259962;"H";7;8;"M";"L";"L"
3;"Bothnian Bay Finnish Coastal waters";5548.12301296;"SCB6";"Biota";75;28.22580645;0.376344086;"L";7;8;"M";"L";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"Biota";20;139.6424004;6.982120022;"H";4;4;"M";"L";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Biota";0.0085;2.5;294.1176471;"H";4;4;"M";"L";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Biota";75;11.97368421;0.159649123;"L";4;4;"M";"L";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Biota";75;5.766407588;0.076885435;"L";4;4;"M";"H";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"Biota";20;35.77726235;1.788863117;"H";4;4;"M";"M";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PB";"Biota";26;2.253489033;0.086672655;"M";3;3;"M";"M";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HBCD";"Biota";167;0.558565141;0.003344701;"H";3;3;"M";"M";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PFOS";"Biota";162.89;8.804786174;0.054053571;"H";3;3;"M";"L";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Biota";0.0085;0.349667423;41.13734387;"H";4;4;"M";"H";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SDX";"Biota";0.0065;0.002193071;0.337395543;"H";3;3;"M";"H";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"Biota";20;36.55738778;1.827869389;"H";4;4;"M";"L";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PB";"Biota";26;7.880608889;0.303100342;"M";3;3;"M";"M";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PFOS";"Biota";162.89;9.003122916;0.055271182;"H";3;3;"M";"L";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HBCD";"Biota";167;0.381159287;0.002282391;"H";3;3;"M";"M";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Biota";75;5.609336594;0.074791155;"L";4;4;"M";"M";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Biota";0.0085;0.509307709;59.91855395;"H";4;4;"M";"M";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SDX";"Biota";0.0065;0.002028388;0.312059638;"H";3;3;"M";"L";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HBCD";"Biota";167;0.348270543;0.002085452;"H";3;3;"M";"H";"H"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SCB6";"Biota";75;4.601256405;0.061350085;"L";4;4;"M";"H";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"HG";"Biota";20;27.92487488;1.396243744;"H";4;4;"M";"M";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PB";"Biota";26;9.153653999;0.352063615;"M";3;3;"M";"L";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SBD6";"Biota";0.0085;0.339769852;39.97292373;"H";4;4;"M";"H";"L"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"PFOS";"Biota";162.89;9.159646009;0.056232095;"H";3;3;"M";"M";"M"
3;"Bothnian Bay Swedish Coastal waters";5349.79599391;"SDX";"Biota";0.0065;0.001880146;0.289253294;"H";3;3;"M";"H";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"SBD6";"Biota";0.0085;0.595181545;70.02135823;"H";2;2;"M";"H";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"SCB6";"Biota";75;17.44724959;0.232629995;"L";2;2;"M";"L";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"Biota";20;100;5;"H";4;4;"M";"H";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"Biota";20;114.8912529;5.744562647;"H";4;4;"M";"M";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"Biota";20;50;2.5;"H";4;4;"M";"M";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"HBCD";"Biota";167;0.255555556;0.001530273;"H";1;1;"M";"M";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"PFOS";"Biota";162.89;52.5;0.322303395;"H";1;3;"M";"L";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"PFOS";"Biota";9.1;4.98;0.547252747;"H";1;3;"M";"L";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"PFOS";"Biota";9.1;5.670555528;0.62313797;"H";1;3;"M";"M";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"HG";"Biota";20;40;2;"H";4;4;"M";"M";"L"
3;"The Quark Finnish Coastal waters";3404.89563885;"SBD6";"Biota";0.0085;0.748888889;88.10457516;"H";2;2;"M";"H";"H"
3;"The Quark Finnish Coastal waters";3404.89563885;"SCB6";"Biota";75;38.18888889;0.509185185;"L";2;2;"M";"L";"M"
3;"The Quark Finnish Coastal waters";3404.89563885;"PB";"Biota";26;10;0.384615385;"M";1;1;"M";"L";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"HBCD";"Biota";167;0.201028527;0.001203764;"H";2;2;"M";"H";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"SBD6";"Biota";0.0085;0.270039679;31.769374;"H";2;2;"M";"M";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"SCB6";"Biota";75;5.510209892;0.073469465;"L";2;3;"M";"L";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"HG";"Biota";20;26.41406803;1.320703402;"H";2;3;"M";"H";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"PB";"Biota";26;3.541173907;0.136198996;"M";2;3;"M";"H";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"PFOS";"Biota";162.89;5.12206451;0.031444929;"H";1;1;"M";"L";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"SDX";"Biota";0.0065;0.001239;0.190615408;"H";2;3;"M";"H";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"SCB6";"Biota";75;4.887690515;0.065169207;"L";2;3;"M";"L";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"HG";"Biota";20;56.48740433;2.824370216;"H";2;3;"M";"L";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"PB";"Biota";26;1.226654855;0.047179033;"M";2;3;"M";"M";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"SDX";"Biota";0.0065;0.001430711;0.22010939;"H";2;3;"M";"H";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"SCB6";"Biota";75;6.64510753;0.088601434;"L";2;3;"M";"M";"M"
3;"The Quark Swedish Coastal waters";1894.20339705;"PB";"Biota";26;2.397915762;0.092227529;"M";2;3;"M";"H";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"HG";"Biota";20;58.81491231;2.940745615;"H";2;3;"M";"M";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"SDX";"Biota";0.0065;0.001213163;0.186640392;"H";2;3;"M";"L";"H"
3;"The Quark Swedish Coastal waters";1894.20339705;"HBCD";"Biota";167;0.15;0.000898204;"H";2;2;"M";"H";"L"
3;"The Quark Swedish Coastal waters";1894.20339705;"SBD6";"Biota";0.0085;0.22423035;26.38004121;"H";2;2;"M";"M";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HBCD";"Biota";167;0.260519252;0.001559996;"H";2;2;"M";"L";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SBD6";"Biota";0.0085;0.834214441;98.14287536;"H";2;2;"M";"M";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SCB6";"Biota";75;19.33164635;0.257755285;"L";2;2;"M";"H";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Biota";9.1;1.45;0.159340659;"H";3;7;"M";"L";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Biota";9.1;2.522533281;0.27720146;"H";3;7;"M";"H";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Biota";162.89;33.7;0.206888084;"H";3;7;"M";"L";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HG";"Biota";20;130;6.5;"H";3;3;"M";"L";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PB";"Biota";26;10;0.384615385;"M";1;1;"M";"M";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HG";"Biota";20;119.5826074;5.979130372;"H";3;3;"M";"L";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HBCD";"Biota";167;1.946280992;0.011654377;"H";2;2;"M";"M";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Biota";9.1;0.74;0.081318681;"H";3;7;"M";"L";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Biota";9.1;1.37;0.150549451;"H";3;7;"M";"L";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Biota";162.89;7.59;0.046595862;"H";3;7;"M";"H";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HG";"Biota";20;180;9;"H";3;3;"M";"M";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SBD6";"Biota";0.0085;1.228065389;144.478281;"H";2;2;"M";"L";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SCB6";"Biota";75;9.661969703;0.128826263;"L";2;2;"M";"M";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Biota";9.1;1.45;0.159340659;"H";3;7;"M";"H";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SCB6";"Biota";75;6.352493516;0.084699914;"L";3;3;"M";"M";"H"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HG";"Biota";20;32.97735404;1.648867702;"H";3;3;"M";"H";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PB";"Biota";26;8.046918985;0.309496884;"M";3;3;"M";"M";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HBCD";"Biota";167;0.235712224;0.00141145;"H";3;3;"M";"H";"H"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PFOS";"Biota";162.89;7.773417646;0.047721884;"H";3;3;"M";"L";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SBD6";"Biota";0.0085;0.225555347;26.5359232;"H";3;3;"M";"H";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SDX";"Biota";0.0065;0.001595827;0.245511807;"H";3;3;"M";"H";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SCB6";"Biota";75;5.709115756;0.076121543;"L";3;3;"M";"L";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HG";"Biota";20;14.39194562;0.719597281;"H";3;3;"M";"M";"M"
