"AU";"matrix";"substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfAcc";"Datatype";"ConfTemp";"Area_km2";"Stations";"GridsAssessed";"Grids";"ConfMethod"
"Archipelago Sea Coastal waters";"Biota";"SCB6";"Org";0.395419121;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";15801.627953195;2;2;527;"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";6.62;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";10.91;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"L"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";8;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";4.15;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";7.67;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"L"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";9.92;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"L"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";3.37;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";2.5;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"M"
"Archipelago Sea Coastal waters";"Biota";"SBD6";"Org";1.95;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";15801.627953195;2;1;527;"H"
"Archipelago Sea Coastal waters";"Biota";"SCB6";"Org";0.02;"ug/kg ww fish muscle";"+";"L";"L";"initial";"M";15801.627953195;2;2;527;"H"
"Archipelago Sea Coastal waters";"Biota";"SDX";"Org";0.01;"teq/kg ww fish muscle, crustacean, mussle";"+";"H";"L";"initial";"M";15801.627953195;2;1;527;"M"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";4;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"H"
"Archipelago Sea Coastal waters";"Biota";"HG";"HM";2;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";15801.627953195;10;7;527;"H"
"Archipelago Sea Coastal waters";"Biota";"PFOS";"Org";0.15;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";15801.627953195;1;1;527;"H"
"Archipelago Sea Coastal waters";"Biota";"SBD6";"Org";2.95;"ug/kg ww fish muscle";"+";"H";"L";"initial";"M";15801.627953195;2;1;527;"H"
"Archipelago Sea Coastal waters";"Biota";"SDX";"Org";0.02;"teq/kg ww fish muscle, crustacean, mussle";"+";"H";"L";"initial";"M";15801.627953195;2;1;527;"M"
"Arkona Basin - open sea";"Biota";"BAP";"Org";0.31;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";13451.1341454;2;1;448;"H"
"Arkona Basin - open sea";"Biota";"CD";"HM";3.616703234;"ug/kg ww mussels";"+";"M";"H";"Full";"H";13451.1341454;2;1;448;"L"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.38418646;"mg/kg sediment";"+";"H";"H";"Full";"H";13451.1341454;5;2;448;"L"
"Arkona Basin - open sea";"Water";"CS-137";"Rad";1.76;"Bq/m3";"+";"M";"H";"Full";"H";13451.1341454;1;1;448;"H"
"Arkona Basin - open sea";"Biota";"CS-137";"Rad";0.58;"Bq/kg ww";"+";"M";"H";"Full";"H";13451.1341454;2;1;448;"H"
"Arkona Basin - open sea";"Biota";"CS-137";"Rad";0.94;"Bq/kg ww";"+";"M";"H";"Full";"H";13451.1341454;2;1;448;"H"
"Arkona Basin - open sea";"Biota";"FLU";"Org";0.16;"ug/kg ww crustacean and molluscs";"+";"H";"H";"Full";"H";13451.1341454;2;2;448;"L"
"Arkona Basin - open sea";"Biota";"HBCDD";"Org";0.055567891;"ug/kg ww whole fish";"+";"H";"H";"Full";"H";13451.1341454;1;1;448;"M"
"Arkona Basin - open sea";"Biota";"HG";"HM";1.128899551;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";13451.1341454;5;1;448;"L"
"Arkona Basin - open sea";"Biota";"SCB6";"Org";1.039193982;"ug/kg ww fish muscle";"+";"L";"H";"Full";"H";13451.1341454;1;1;448;"M"
"Arkona Basin - open sea";"Biota";"PB";"HM";1.44284269;"ug/kg ww fish liver - ug/kg dw mussels";"+";"M";"H";"Full";"H";13451.1341454;5;1;448;"H"
"Arkona Basin - open sea";"Sediment";"PB";"HM";1.393407022;"mg/kg";"+";"M";"H";"Full";"H";13451.1341454;5;1;448;"M"
"Arkona Basin - open sea";"Biota";"PFOS";"Org";0.234471738;"ug/g ww whole fish";"+";"H";"H";"Full";"H";13451.1341454;1;1;448;"L"
"Arkona Basin - open sea";"Biota";"SBD6";"Org";432.1394345;"ug/kg ww fish muscle";"+";"H";"H";"Full";"H";13451.1341454;2;1;448;"M"
"Arkona Basin - open sea";"Sediment";"ANT";"Org";2;"ug/kg ww sediment";"+";"H";"L";"initial";"M";13451.1341454;2;1;448;"H"
"Arkona Basin - open sea";"Sediment";"ANT";"Org";0.14;"ug/kg ww sediment";"+";"H";"L";"initial";"M";13451.1341454;2;1;448;"H"
"Arkona Basin - open sea";"Biota";"BAP";"Org";0.17;"ug/kg ww mussels";"+";"H";"L";"initial";"M";13451.1341454;2;1;448;"L"
"Arkona Basin - open sea";"Biota";"CD";"HM";1.29;"ug/kg dw mussels";"+";"M";"L";"initial";"M";13451.1341454;2;1;448;"H"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.3;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;5;2;448;"L"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.15;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;5;2;448;"M"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.2;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;5;2;448;"H"
"Arkona Basin - open sea";"Sediment";"CD";"HM";0.2;"mg/kg sediment";"+";"H";"L";"initial";"M";13451.1341454;5;2;448;"L"
"Arkona Basin - open sea";"Water";"CD";"HM";0.42;"ug/l water";"+";"H";"L";"initial";"M";13451.1341454;1;1;448;"L"
"Arkona Basin - open sea";"Biota";"FLU";"Org";0.14;"ug/kg ww mussels";"+";"H";"L";"initial";"M";13451.1341454;2;2;448;"M"
"Arkona Basin - open sea";"Biota";"HG";"HM";0.7;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";13451.1341454;5;1;448;"L"
"Arkona Basin - open sea";"Biota";"HG";"HM";1.1;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";13451.1341454;5;1;448;"M"
"Arkona Basin - open sea";"Biota";"HG";"HM";0.98;"ug/kg ww whole fish";"+";"H";"L";"initial";"M";13451.1341454;5;1;448;"M"
"Arkona Basin - open sea";"Biota";"HG";"HM";0.43;"ug/kg ww whole fish (mussel)";"+";"H";"L";"initial";"M";13451.1341454;5;1;448;"L"
"Arkona Basin - open sea";"Biota";"PB";"HM";1.51;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";13451.1341454;5;1;448;"M"
"Arkona Basin - open sea";"Biota";"PB";"HM";1.08;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";13451.1341454;5;1;448;"H"
"Arkona Basin - open sea";"Biota";"PB";"HM";0.63;"ug/kg ww fish liver";"+";"M";"L";"initial";"M";13451.1341454;5;1;448;"H"
