region	country	station	stationName	latitude	longitude	determinand	detGroup	meanLY	HQS	Contamination ratio	Matrix
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	CD	Metals	193.4873145	137.28	1.409435566	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	HG	Metals	9.735793353	20	0.486789668	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	PB	Metals	115.2488535	185.9	0.619950799	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	BAP	PAH (parent)	0.447213595	5	0.089442719	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	FLU	PAH (parent)	3.33957445	30	0.111319148	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	HBCD	Organo-bromines	0.546128925	167	0.003270233	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	SBD6	Organo-bromines	1.389597325	0.0085	163.4820382	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	SCB6	Chlorobiphenyls	156.6534426	75	2.088712569	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	SDX	Dioxins	0.007341142	0.0065	1.129406524	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	HG	Metals	52.95724618	20	2.647862309	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	PB	Metals	43.9712406	26	1.691201562	Biota
Kattegat	Denmark	Anholt	Flensborg Fjord	56.69617	11.531	PFOS	Perfluoranated compounds	6.245798588	162.89	0.038343659	Biota
Great Belt	Denmark	ARH144003	Ebeltoft Vig	56.19753	10.45978	CD	Metals	237.16	137.28	1.727564103	Biota
Great Belt	Denmark	ARH144003	Ebeltoft Vig	56.19753	10.45978	HG	Metals	13.09	20	0.6545	Biota
Great Belt	Denmark	ARH144003	Ebeltoft Vig	56.19753	10.45978	PB	Metals	200.2	185.9	1.076923077	Biota
Great Belt	Denmark	ARH144003	Ebeltoft Vig	56.19753	10.45978	BAP	PAH (parent)	1.74	5	0.348	Biota
Great Belt	Denmark	ARH144003	Ebeltoft Vig	56.19753	10.45978	FLU	PAH (parent)	3.4	30	0.113333333	Biota
Great Belt	Denmark	ARH147001	Begtrup Vig	56.14627	10.51857	CD	Metals	195.615	137.28	1.424934441	Biota
Great Belt	Denmark	ARH147001	Begtrup Vig	56.14627	10.51857	HG	Metals	12.4821	20	0.624105	Biota
Great Belt	Denmark	ARH147001	Begtrup Vig	56.14627	10.51857	PB	Metals	149.04	185.9	0.801721356	Biota
