Code_scale4;Name_scale3
"DEN-001";"Kattegat Danish Coastal waters, including Limfjorden"
"DEN-002";"Kattegat Danish Coastal waters, including Limfjorden"
"DEN-003";"The Sound Danish Coastal waters"
"DEN-004";"The Sound Danish Coastal waters"
"DEN-005";"Belts Danish Coastal waters"
"DEN-006";"Belts Danish Coastal waters"
"DEN-007";"Belts Danish Coastal waters"
"DEN-008";"Kattegat Danish Coastal waters, including Limfjorden"
"DEN-009";"Belts Danish Coastal waters"
"DEN-010";"Belts Danish Coastal waters"
"DEN-011";"Belts Danish Coastal waters"
"DEN-012";"Belts Danish Coastal waters"
"DEN-013";"Belts Danish Coastal waters"
"DEN-014";"Belts Danish Coastal waters"
"DEN-015";"Belts Danish Coastal waters"
"DEN-016";"Belts Danish Coastal waters"
"DEN-017";"Belts Danish Coastal waters"
"DEN-018";"Belts Danish Coastal waters"
"DEN-019";"Arkona Basin Danish Coastal waters"
"DEN-020";"Belts Danish Coastal waters"
"DEN-021";"Arkona Basin Danish Coastal waters"
"DEN-022";"Arkona Basin Danish Coastal waters"
"DEN-023";"Arkona Basin Danish Coastal waters"
"DEN-024";"Arkona Basin Danish Coastal waters"
"DEN-025";"Bornholm Basin Danish Coastal waters"
"DEN-026";"Bornholm Basin Danish Coastal waters"
"DEN-027";"Belts Danish Coastal waters"
"DEN-028";"Belts Danish Coastal waters"
"DEN-029";"Belts Danish Coastal waters"
"DEN-030";"Belts Danish Coastal waters"
"DEN-031";"Belts Danish Coastal waters"
"DEN-032";"Belts Danish Coastal waters"
"DEN-033";"Belts Danish Coastal waters"
"DEN-034";"Belts Danish Coastal waters"
"DEN-035";"Belts Danish Coastal waters"
"DEN-036";"Belts Danish Coastal waters"
"DEN-037";"Belts Danish Coastal waters"
"DEN-038";"Belts Danish Coastal waters"
"DEN-039";"Belts Danish Coastal waters"
"DEN-040";"Belts Danish Coastal waters"
"DEN-041";"Belts Danish Coastal waters"
"DEN-042";"Belts Danish Coastal waters"
"DEN-043";"Belts Danish Coastal waters"
"DEN-044";"Belts Danish Coastal waters"
"DEN-045";"Belts Danish Coastal waters"
"DEN-046";"Belts Danish Coastal waters"
"DEN-047";"Belts Danish Coastal waters"
"DEN-048";"Belts Danish Coastal waters"
"DEN-049";"Belts Danish Coastal waters"
"DEN-050";"Belts Danish Coastal waters"
"DEN-051";"Belts Danish Coastal waters"
"DEN-052";"Belts Danish Coastal waters"
"DEN-053";"Belts Danish Coastal waters"
"DEN-054";"Belts Danish Coastal waters"
"DEN-055";"Belts Danish Coastal waters"
"DEN-056";"Belts Danish Coastal waters"
"DEN-057";"Belts Danish Coastal waters"
"DEN-058";"Belts Danish Coastal waters"
"DEN-059";"Belts Danish Coastal waters"
"DEN-060";"Belts Danish Coastal waters"
"DEN-061";"Belts Danish Coastal waters"
"DEN-062";"Belts Danish Coastal waters"
"DEN-063";"Belts Danish Coastal waters"
"DEN-064";"Belts Danish Coastal waters"
"DEN-065";"Belts Danish Coastal waters"
"DEN-066";"Belts Danish Coastal waters"
"DEN-067";"Belts Danish Coastal waters"
"DEN-068";"Belts Danish Coastal waters"
"DEN-069";"Belts Danish Coastal waters"
